H all,S all,V all,H top,S top,V top,H mid,S mid ,V mid,H bot,S bot,V bot,Ripeness
25,111,122,12,111,115,25,122,144,37,100,109,0
25,110,120,12,113,112,24,124,144,38,94,104,0
25,108,120,13,113,124,19,134,141,44,76,96,0
25,107,123,14,106,123,23,131,146,39,84,101,0
15,76,89,6,67,68,14,96,115,25,66,83,1
15,75,89,7,76,79,13,92,111,25,57,77,1
15,75,87,7,78,80,13,94,107,26,53,73,1
15,75,81,12,84,77,18,84,99,15,56,67,1
15,74,94,8,75,81,18,81,115,21,65,87,1
15,74,81,11,76,71,18,84,100,16,61,71,1
15,68,81,7,77,81,13,86,101,26,41,63,1
16,91,86,13,104,80,20,109,102,17,60,76,0
16,90,87,12,97,78,19,105,104,18,69,79,0
16,87,92,8,76,86,18,109,114,24,75,77,0
16,83,92,8,71,72,17,102,117,24,76,89,0
16,78,95,8,76,79,16,91,120,23,66,87,0
14,96,95,11,93,79,18,117,119,14,80,88,1
14,86,91,13,89,85,18,94,108,11,75,79,1
14,86,90,14,87,89,15,96,104,12,76,78,1
14,86,88,12,84,82,19,97,103,12,78,80,1
14,85,94,12,87,83,17,95,117,13,74,82,1
14,84,92,15,91,95,16,93,106,11,68,75,1
17,61,108,7,49,84,16,80,139,29,54,102,0
16,98,110,9,85,88,16,116,137,23,93,105,0
16,97,99,12,109,93,19,113,115,16,70,89,0
16,97,88,12,103,81,19,116,105,18,71,78,0
16,96,107,8,96,96,17,111,130,24,81,94,0
16,96,106,8,82,83,16,109,129,24,96,105,0
14,84,89,13,84,84,16,89,101,12,81,83,1
14,84,83,11,87,79,17,99,102,16,66,69,1
14,83,89,13,88,90,18,93,102,11,70,74,1
14,83,79,15,96,71,14,88,94,14,66,72,1
14,81,83,11,87,78,18,95,103,14,62,68,1
14,81,80,11,88,76,18,96,99,14,59,67,1
14,81,79,16,97,73,15,80,91,11,67,71,1
14,79,96,8,82,88,14,94,118,21,62,83,1
14,76,84,15,90,76,15,85,102,11,53,74,1
14,76,79,11,84,72,18,87,97,15,59,69,1
25,102,113,13,106,114,19,128,134,42,72,91,0
25,74,90,10,78,81,22,91,113,42,51,75,0
24,118,130,10,115,115,30,118,151,31,120,123,0
24,117,128,12,119,126,24,130,150,35,101,109,0
24,115,126,13,118,129,20,141,147,39,86,101,0
24,114,130,14,122,126,28,116,151,33,105,113,0
24,110,119,12,110,111,23,125,143,37,94,105,0
24,110,118,11,107,104,26,125,144,36,99,107,0
24,108,118,12,101,102,23,123,143,36,100,108,0
13,98,84,11,100,75,16,125,109,13,68,70,1
13,98,83,10,90,70,16,129,108,13,75,72,1
13,88,93,12,99,91,12,94,109,14,70,79,1
13,87,90,12,90,88,15,92,103,11,78,79,1
13,85,88,12,91,86,15,93,101,11,71,78,1
13,83,86,14,99,85,14,93,105,11,56,68,1
13,82,89,13,93,92,14,97,107,10,55,69,1
13,82,88,12,89,84,17,87,101,11,70,78,1
18,61,98,13,57,94,26,75,118,14,52,84,0
17,93,106,8,85,86,15,110,129,29,84,102,0
17,93,87,13,102,83,20,112,104,18,65,75,0
17,93,88,12,98,78,20,109,107,19,74,79,0
17,93,90,14,111,88,20,111,106,17,57,77,0
7,43,54,4,25,32,10,68,78,9,37,52,1
7,42,55,3,22,30,9,66,79,9,39,56,1
6,89,138,5,89,147,7,104,163,6,74,106,1
6,88,136,5,81,136,8,102,159,5,82,112,1
6,88,138,5,82,137,9,102,163,5,82,115,1
24,105,118,12,112,120,21,126,138,38,79,95,0
24,100,115,12,105,112,21,119,138,38,76,93,0
24,87,95,11,71,87,24,102,115,39,88,84,0
24,87,96,8,77,91,21,112,117,43,71,79,0
24,75,92,9,78,81,20,88,114,43,59,83,0
24,73,91,11,79,85,23,92,113,39,48,75,0
24,72,93,10,75,82,22,80,112,38,61,84,0
13,81,88,13,84,89,15,90,100,10,69,76,1
13,79,98,7,73,77,16,90,123,17,73,92,1
13,78,95,7,69,71,14,91,123,18,73,91,1
13,76,83,11,88,78,12,88,100,14,52,70,1
13,73,82,13,89,81,13,84,98,13,46,67,1
13,73,82,10,71,62,16,87,104,14,63,80,1
13,59,67,10,62,65,16,68,83,13,45,54,1
13,57,75,10,61,74,16,67,91,13,43,60,1
13,54,67,10,56,63,16,63,82,12,44,55,1
24,71,88,12,74,83,20,93,110,39,47,73,0
23,119,131,10,126,124,19,130,153,39,102,115,0
23,119,124,11,111,109,26,125,145,31,121,119,0
23,119,124,11,122,121,22,136,146,37,99,106,0
23,114,120,11,106,104,23,131,144,34,105,110,0
23,110,124,10,111,112,22,120,147,36,100,113,0
12,87,94,12,95,92,12,96,111,11,71,79,1
12,82,98,7,71,74,15,95,124,15,80,97,1
20,82,97,8,76,80,18,96,117,35,75,94,0
12,79,98,7,68,73,15,89,124,14,80,97,1
12,79,82,12,79,72,14,93,103,10,66,73,1
12,77,83,8,71,61,13,94,108,14,65,81,1
12,75,83,10,87,78,12,91,103,15,48,69,1
12,74,90,11,68,74,15,91,116,10,62,82,1
12,71,83,11,68,71,13,84,102,12,60,75,1
19,81,94,8,75,76,17,98,120,30,70,88,0
19,78,94,8,76,81,19,89,116,31,70,86,0
12,69,85,5,69,75,12,84,106,19,54,74,1
18,62,99,21,58,95,18,79,121,16,50,80,0
11,77,93,11,70,83,13,96,113,10,65,83,1
23,103,114,11,110,114,19,126,137,38,74,93,0
23,100,115,12,101,115,21,121,135,36,77,95,0
23,94,110,10,103,106,21,111,132,38,68,93,0
23,89,99,9,86,83,18,108,123,42,73,92,0
23,86,98,11,89,89,19,104,118,39,66,86,0
23,83,102,12,83,92,21,99,124,37,67,90,0
23,68,83,11,74,81,23,81,101,36,48,67,0
23,65,79,10,68,72,21,82,99,38,45,66,0
23,64,81,11,72,78,22,78,103,35,44,62,0
12,54,67,9,58,62,15,59,81,11,43,58,1
12,53,66,11,57,65,14,62,80,11,41,52,1
11,86,93,10,93,90,14,96,111,11,70,79,1
22,117,130,9,120,122,16,135,155,39,97,113,0
22,116,128,10,124,126,19,127,149,37,96,109,0
12,69,86,5,64,69,11,87,110,19,57,79,1
21,63,113,7,52,88,18,83,145,38,53,105,0
20,111,126,10,110,112,19,119,151,31,103,116,0
20,91,106,9,85,89,16,113,131,36,76,97,0
20,91,107,9,88,92,22,102,129,28,82,97,0
20,88,99,9,87,85,18,100,119,34,79,93,0
20,87,103,9,86,91,21,100,129,29,75,91,0
20,87,99,8,76,76,18,103,122,34,81,98,0
20,86,95,7,70,84,16,109,119,38,79,82,0
20,83,97,9,82,85,17,97,119,33,71,86,0
20,83,97,8,78,81,18,97,119,33,74,92,0
12,68,84,11,67,77,13,78,101,12,59,74,1
12,65,85,11,62,79,13,70,102,11,61,75,1
12,60,67,9,63,64,14,70,81,13,48,55,1
12,58,61,8,58,52,15,62,74,12,52,56,1
20,71,85,8,69,72,22,80,106,30,63,78,0
20,68,81,8,66,68,19,82,102,32,57,73,0
20,62,107,9,48,78,22,85,142,30,54,101,0
19,124,137,10,122,120,124,127,162,23,123,130,0
19,119,138,10,124,130,19,125,161,29,109,122,0
19,114,122,10,118,110,16,125,145,30,101,110,0
19,112,119,9,113,109,15,129,142,34,94,107,0
19,95,113,10,90,94,20,107,138,29,89,106,0
19,89,104,10,96,102,19,103,126,27,68,84,0
19,89,92,14,96,75,23,100,114,19,72,85,0
11,73,94,10,58,75,14,89,120,9,73,88,1
11,71,92,10,69,79,13,88,117,10,58,81,1
19,76,90,9,81,82,18,95,112,31,54,76,0
19,66,114,9,50,82,14,89,145,32,59,114,0
19,64,114,12,55,88,16,87,144,29,56,110,0
18,111,119,9,113,108,13,123,141,31,98,109,0
18,109,120,10,105,106,16,120,144,28,103,111,0
18,100,112,9,95,95,18,118,136,27,89,104,0
18,95,111,9,93,96,22,106,137,24,87,101,0
18,93,108,10,94,96,21,105,133,24,81,95,0
18,87,105,10,91,99,18,98,125,26,72,90,0
18,85,91,6,67,74,14,108,116,34,80,82,0
11,71,88,10,67,73,13,88,113,9,58,79,1
18,80,94,8,72,73,20,95,118,27,74,91,0
18,80,93,10,76,82,16,96,112,28,69,85,0
18,81,91,16,86,84,20,89,108,16,67,81,0
18,78,92,9,79,81,18,98,115,28,58,79,0
8,54,96,7,37,66,9,74,121,8,52,99,1
8,49,100,7,35,74,8,68,129,8,45,97,1
8,48,91,5,33,59,10,69,122,10,42,91,1
8,47,90,6,31,63,8,67,117,10,44,92,1
22,106,120,12,115,126,20,129,139,34,76,95,0
22,91,103,9,92,92,20,108,125,36,73,92,0
22,90,105,11,103,109,19,105,123,37,62,84,0
22,85,98,8,83,82,19,103,121,40,70,92,0
22,84,88,9,74,84,17,109,108,39,69,72,0
22,80,95,9,88,93,18,95,114,38,57,78,0
22,76,92,8,75,80,19,89,113,38,64,84,0
22,73,90,9,73,80,18,91,111,39,54,78,0
22,73,92,9,79,85,24,79,112,34,61,80,0
22,73,88,8,75,76,21,85,108,37,58,79,0
22,71,85,12,75,81,21,82,102,32,56,71,0
22,68,84,10,71,78,22,79,103,34,54,72,0
22,66,82,10,71,78,22,78,103,35,44,66,0
22,68,81,12,77,82,22,77,96,34,50,65,0
21,121,128,12,120,121,24,127,148,29,115,115,0
21,121,125,10,110,108,26,127,146,27,127,123,0
21,119,126,10,111,110,25,119,145,29,127,124,0
21,109,123,10,112,112,18,123,147,36,94,110,0
10,77,91,10,74,80,12,94,112,9,64,82,1
10,75,91,10,70,77,12,88,111,10,66,84,1
10,59,64,7,59,57,11,68,77,13,51,56,1
10,55,63,7,58,61,11,63,76,12,44,52,1
9,76,116,9,70,109,11,101,143,8,57,95,1
9,70,109,8,58,89,11,88,134,9,63,103,1
9,66,102,7,56,91,10,82,126,10,59,90,1
21,99,114,12,104,109,15,124,137,37,70,95,0
21,88,104,10,87,93,15,108,125,37,71,93,0
21,87,109,13,90,109,18,102,130,31,70,89,0
21,84,100,9,81,84,19,99,124,35,72,94,0
21,84,93,8,83,97,15,105,111,39,64,72,0
21,82,96,8,84,85,19,96,118,35,65,84,0
21,82,96,8,79,82,18,98,118,37,69,89,0
21,79,95,9,90,94,20,92,115,34,56,76,0
21,79,93,8,80,82,20,95,116,34,63,82,0
11,75,91,9,67,73,14,92,115,12,65,87,1
11,70,91,10,71,84,12,84,111,10,56,79,1
11,69,91,9,66,79,12,82,113,12,59,82,1
21,78,92,10,69,74,20,96,115,35,68,86,0
21,77,94,10,80,86,19,91,113,33,62,82,0
21,77,93,9,80,82,20,90,115,35,62,82,0
21,76,91,11,84,91,17,96,111,34,49,72,0
21,74,90,10,79,85,19,91,112,34,51,72,0
21,73,87,10,77,81,21,85,106,32,58,74,0
21,73,86,9,76,80,21,84,104,32,58,74,0
10,88,95,11,85,84,11,100,116,9,78,85,1
10,88,91,10,98,89,12,93,106,9,72,79,1
21,67,82,8,63,68,21,81,103,33,57,75,0
21,67,80,9,64,67,20,84,102,35,53,72,0
21,66,82,10,71,77,19,80,103,36,47,65,0
21,64,78,9,62,64,20,79,98,34,53,70,0
10,83,91,10,99,95,11,87,103,10,64,74,1
10,83,90,11,88,86,12,98,109,8,65,74,1
10,81,92,11,87,90,12,90,111,7,66,76,1
21,68,82,7,68,70,20,81,103,36,56,73,0
11,69,83,10,72,83,11,81,98,12,56,69,1
11,69,81,10,72,79,11,82,96,13,53,69,1
21,72,86,9,70,74,23,83,105,30,63,78,0
21,72,86,11,77,83,22,85,105,32,55,72,0
11,59,63,8,60,59,13,70,77,12,47,54,1
21,68,80,8,68,69,21,81,101,35,54,71,0
